Countries ;%GDP Agriculture2007;%GDP Industry2007;%GDP Services2007;Children Per Women2007;Cumulative CO2 Emissions2007;Democracy Score2007;Energy Use Total2007;Extreme Poverty headcount ratio at $1.25 a day (PPP) (% of population)2007;GDP Per Capita2007;GDP Total2007;HDI2007;Life Expectancy2007;Murders Total Deaths2007;Population Density2007;Population Total2007;Poverty headcount ratio at $2 a day (PPP) (% of population)2007;Working Hours per Week2007
abkhazia;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
cameroon;19.4652;30.6440;49.8908;5.2350;130390333.3323;-4.0000;6339740.0000;9.5600;647.9445;12912710944.5598;0.4590;52.5020;2808.0000;38.5960;18350022.0000;30.3600;X
canada;1.6864;31.5455;66.7681;1.6570;25613067333.5026;10.0000;271731208.0000;X;26229.7431;863738436331.0860;0.9000;80.5920;446.0000;3.3070;32977334.0000;X;33.3904
cape verde;7.2000;15.6668;77.1332;2.6600;5518333.3334;10.0000;103000.0000;X;1735.8839;838471844.8995;0.5600;72.9590;53.0000;119.7680;483023.0000;X;X
cayman islands;X;X;X;X;10248333.3334;X;X;X;X;X;X;X;X;207.1170;54679.0000;X;X
central african republic;53.8656;X;X;X;8506666.6668;X;X;X;227.2706;983715326.2111;0.3230;X;X;6.6790;X;X;X
chad;12.5162;54.2645;33.2192;6.9020;8092333.3333;-2.0000;X;X;292.1435;3030064983.2634;0.3130;48.4520;1860.0000;8.0780;10371839.0000;X;X
channel islands;X;X;X;1.4200;X;X;X;X;45226.0317;6815065490.9545;X;79.3750;X;772.7640;150689.0000;X;X
chile;3.9133;48.8772;47.2063;1.9030;1888795333.3453;10.0000;30564974.0000;X;6410.8067;101465571561.5710;0.7890;78.4520;861.0000;21.9830;16633254.0000;X;X
china;10.7697;47.3388;41.8915;1.6170;109545197664.5370;-7.0000;2014822352.0000;X;1864.1027;2456672989715.7200;0.6560;74.4180;27693.0000;137.6980;1321481935.0000;X;X
christmas island;X;X;X;X;X;X;X;X;X;X;X;X;X;X;1400.0000;X;X
cocos island;X;X;X;X;X;X;X;X;X;X;X;X;X;X;596.0000;X;X
colombia;7.9374;33.8057;58.2569;2.4540;2335589666.6967;7.0000;27919061.0000;8.8400;3068.4773;136743824883.3100;0.6910;72.7750;36619.0000;38.9430;44352327.0000;X;X
comoros;45.3437;11.8571;42.7992;5.1120;2563000.0000;9.0000;41000.0000;X;347.1000;235543869.3681;0.4280;59.5410;72.0000;364.6440;678602.0000;X;X
congo. dem. rep.;42.4652;28.4079;29.1269;6.5500;173609333.3378;5.0000;21453936.0000;X;97.9102;5950214773.2456;0.2710;48.2400;20062.0000;25.9170;60772175.0000;X;X
congo. rep.;4.3273;73.2408;22.4319;5.1090;47197333.3355;-4.0000;1209302.0000;X;1101.2200;4106748578.4095;0.5120;55.3010;665.0000;10.9080;3730612.0000;X;X
cook is;X;X;X;X;1111000.0000;X;X;X;X;X;X;X;0.0000;84.1570;X;X;X
costa rica;8.4826;29.2679;62.2495;1.9530;156273333.3343;10.0000;4510028.0000;2.1600;5137.4853;22875207933.4116;0.7350;78.7280;279.0000;87.1350;4452608.0000;X;X
cote d'ivoire;23.8537;25.2861;50.8602;4.9280;235048000.0014;0.0000;10232925.0000;X;572.0963;10667682579.8993;0.3880;48.2390;9578.0000;57.8260;18646754.0000;X;X
croatia;4.8748;27.4871;67.6382;1.4130;325559666.6600;9.0000;9305929.0000;X;6651.7415;29507125184.3611;0.7910;75.9300;85.0000;78.2840;4425995.0000;X;X
cuba;4.9704;20.4941;74.5355;1.5200;1313165333.3127;-7.0000;10137385.0000;X;4165.6004;46940846885.4881;0.7590;78.1540;680.0000;101.6470;11268687.0000;X;X
cyprus;2.2153;18.9680;78.8167;1.5030;191726333.3323;10.0000;2437076.0000;X;15248.8653;11954759660.6975;0.8190;78.9040;2.0000;114.9090;1063027.0000;X;X
czech republic;X;X;X;X;1995733666.6000;X;45845189.0000;X;7868.3163;81312346952.1958;0.8610;X;X;130.7730;X;X;X
czechoslovakia;X;X;X;X;X;X;X;X;X;X;X;X;X;X;15676246.0000;X;X
